Tree,D1,D2,CanopyArea
1,7.25,8.87,50.50550281
2,10.52,9.5,78.4903775
3,10.45,10.25,84.12347969
4,9.21,7.54,54.53911028
5,9.45,10.14,75.25698863
6,6.56,6.01,30.9638806
7,9.12,8.21,58.8051102
8,9.46,6.42,47.69833695
9,7.7,6.2,37.4938025
10,8.73,8.52,58.41587835
11,8.47,8.32,55.3456904
12,15.24,11.86,141.9537039
13,5.68,8.85,39.4792305
14,10.67,8.11,67.96140464
15,9.96,8.71,68.13253785
16,10.65,8.46,70.76150213
17,11.37,9.63,85.99314341
18,9.45,7.93,58.85482444
19,12.23,8.54,82.02786358
20,14.5,11.26,128.2281763
