Punto,Muestra,Year,PesoInicial,PesoSobre,PesoSecoSobre,PesoSobre2,ContenidoAgua,Cobertura,AguaenSuelo
1,1,2017,193.66,202.46,196.97,8.8,5.49,Dentro,2.834865228
3,2,2017,239.86,249.05,246.02,9.19,3.03,Dentro,1.263236888
5,3,2017,212.97,221.7,219.74,8.73,1.96,Dentro,0.920317416
9,4,2017,231.68,239.85,237.21,8.17,2.64,Dentro,1.139502762
10,5,2017,226.16,234.35,232.41,8.19,1.94,Dentro,0.857799788
13,6,2017,222.56,231.61,227.92,9.05,3.69,Dentro,1.657979871
14,7,2017,228.47,237.32,234.46,8.85,2.86,Dentro,1.251805489
15,8,2017,233.36,245.2,242.81,11.84,2.39,Dentro,1.024168666
16,9,2017,216.95,228.49,225.04,11.54,3.45,Dentro,1.590228163
20,10,2017,232.75,241.69,237.11,8.94,4.58,Dentro,1.967776584
21,11,2017,229.03,237.63,235.53,8.6,2.1,Fuera,0.916910448
22,12,2017,251.22,259.94,258,8.72,1.94,Fuera,0.77223151
23,13,2017,253.69,264.09,261.66,10.4,2.43,Fuera,0.957861958
24,14,2017,249.84,258.64,256.48,8.8,2.16,Fuera,0.864553314
25,15,2017,240.63,249.1,247.01,8.47,2.09,Fuera,0.868553381
26,16,2017,253.18,261.76,259.41,8.58,2.35,Fuera,0.92819338
27,17,2017,271.29,280.41,277.44,9.12,2.97,Fuera,1.094769435
28,18,2017,256.75,265.41,263.28,8.66,2.13,Fuera,0.829600779
29,19,2017,219.6,228.77,226.75,9.17,2.02,Fuera,0.919854281
30,20,2017,237.72,246.61,244.36,8.89,2.25,Fuera,0.946491671
1,1,2018,,199.26,197.23,17,2.03,Dentro,1.113793482
3,2,2018,,199.41,197.44,17,1.97,Dentro,1.07998465
5,3,2018,,211.45,209.55,16.5,1.9,Dentro,0.974608874
9,4,2018,,199.88,197.86,17.06,2.02,Dentro,1.104911935
10,5,2018,,256.4,254.41,16.76,1.99,Dentro,0.830412285
13,6,2018,,196.49,194.51,14.83,1.98,Dentro,1.089948255
14,7,2018,,186.03,183.98,16.52,2.05,Dentro,1.209368179
15,8,2018,,176.7,174.83,17.12,1.87,Dentro,1.171826043
16,9,2018,,209.2,207.02,16.82,2.18,Dentro,1.133173927
20,10,2018,,219.12,216.75,16.51,2.37,Dentro,1.169734959
21,11,2018,,186.05,184.54,17.07,1.51,Fuera,0.893596875
22,12,2018,,255.1,253.34,16.88,1.76,Fuera,0.738812862
23,13,2018,,239.93,237.98,17.17,1.95,Fuera,0.875381577
24,14,2018,,255.61,253.73,16.86,1.88,Fuera,0.787434555
25,15,2018,,233.06,231.44,16.45,1.62,Fuera,0.747887909
26,16,2018,,226.75,225.01,16.51,1.74,Fuera,0.827625571
27,17,2018,,263.88,262.14,17.01,1.74,Fuera,0.704824402
28,18,2018,,255.2,253.29,16.46,1.91,Fuera,0.800033509
29,19,2018,,243.83,241.82,17.24,2.01,Fuera,0.887064742
30,20,2018,,229.65,227.75,16.93,1.9,Fuera,0.89319293
