"","year","Season","Iluminacion","Cobertura","N","Soil_respiration","sd","se","ci"
"1",2017,"April",5,"Canopy interspace",10,0.395,0.103198837202751,0.0326343377441614,0.0738240008811306
"2",2017,"April",5,"Under canopy",20,0.7315,0.316515153042099,0.0707749398110882,0.148133651473908
"3",2017,"April",9,"Canopy interspace",10,0.207,0.140953104888746,0.0445732854721051,0.100831777000172
"4",2017,"April",9,"Under canopy",20,0.82,0.205733603938379,0.0460034323662233,0.0962862905278512
"5",2017,"April",13,"Canopy interspace",10,0.275,0.185726800555128,0.0587319712290031,0.132860949400947
"6",2017,"April",13,"Under canopy",20,0.9895,0.266250277983547,0.0595353720599426,0.124608965809608
"7",2017,"April",17,"Canopy interspace",10,0.348,0.157466045722738,0.0497951358624068,0.112644423263653
"8",2017,"April",17,"Under canopy",20,0.8545,0.169813365043416,0.0379714227725064,0.0794751012429634
"9",2017,"April",21,"Canopy interspace",10,0.378,0.080111034057599,0.0253333333333333,0.0573079814575545
"10",2017,"April",21,"Under canopy",20,0.8895,0.355623618302746,0.0795198584929377,0.166436976628864
"11",2017,"August",5,"Canopy interspace",10,0.119,0.0611827862501646,0.0193476958145753,0.0437675286705823
"12",2017,"August",5,"Under canopy",20,0.3595,0.0855616121498667,0.0191321581031574,0.0400440671226512
"13",2017,"August",9,"Canopy interspace",10,0.158,0.125237552053865,0.0396035913074111,0.0895895477485926
"14",2017,"August",9,"Under canopy",20,0.319,0.0839736800870869,0.0187770856995547,0.0393008920408542
"15",2017,"August",13,"Canopy interspace",10,0.037,0.0507827617296351,0.0160589192939279,0.0363277993075572
"16",2017,"August",13,"Under canopy",20,0.1575,0.162379509985583,0.0363091622480868,0.0759959499806598
"17",2017,"August",17,"Canopy interspace",10,0.006,0.00516397779494322,0.00163299316185545,0.0036940871778918
"18",2017,"August",17,"Under canopy",20,0.004,0.00502624689950035,0.00112390297389803,0.00235235595918962
"19",2017,"August",21,"Canopy interspace",10,0.007,0.00483045891539648,0.00152752523165195,0.00345550214413644
"20",2017,"August",21,"Under canopy",20,0.0065,0.00489360484929593,0.00109424330980483,0.00229027756879687
"21",2018,"April",5,"Canopy interspace",10,0.014,0.00516397779494322,0.00163299316185545,0.0036940871778918
"22",2018,"April",5,"Under canopy",20,0.007,0.00470162345981627,0.00105131496607569,0.00220042751275588
"23",2018,"April",9,"Canopy interspace",10,0.013,0.00674948557710553,0.00213437474581095,0.00482829111933184
"24",2018,"April",9,"Under canopy",20,0.0125,0.00786397515657049,0.00175843830234612,0.00368045366500333
"25",2018,"April",13,"Canopy interspace",10,0.013,0.00674948557710553,0.00213437474581095,0.00482829111933184
"26",2018,"April",13,"Under canopy",20,0.0135,0.00745159820370595,0.00166622801245018,0.00348745531018718
"27",2018,"April",17,"Canopy interspace",10,0.004,0.00516397779494322,0.00163299316185545,0.0036940871778918
"28",2018,"April",17,"Under canopy",20,0.01,0.00725476250110012,0.00162221421130763,0.00339533336566986
"29",2018,"April",21,"Canopy interspace",10,0.003,0.00483045891539648,0.00152752523165195,0.00345550214413644
"30",2018,"April",21,"Under canopy",18,0.00333333333333333,0.00594088525786005,0.00140028008402801,0.00295433273461204
"31",2018,"August",5,"Canopy interspace",10,0.037,0.0374314187696795,0.0118368539363765,0.0267768239171702
"32",2018,"August",5,"Under canopy",20,0.041,0.0466679197826741,0.0104352641002567,0.0218412587759407
"33",2018,"August",9,"Canopy interspace",10,-0.046,0.0333999334663343,0.0105619863451699,0.0238928730641029
"34",2018,"August",9,"Under canopy",19,0.0226315789473684,0.0558611478243807,0.0128154262229822,0.0269242114069463
"35",2018,"August",13,"Canopy interspace",10,-0.018,0.035213633723318,0.01113552872566,0.025190316068297
"36",2018,"August",13,"Under canopy",20,0.0105,0.0491480041892799,0.0109898278325674,0.0230019740073696
"37",2018,"August",17,"Canopy interspace",10,0.017,0.0557872944515346,0.0176414914965323,0.0399078263513242
"38",2018,"August",17,"Under canopy",20,0.0275,0.0462117551688905,0.0103332625917216,0.0216277671649909
"39",2018,"August",21,"Canopy interspace",10,0.019,0.00567646212197547,0.0017950549357115,0.00406069638043604
"40",2018,"August",21,"Under canopy",20,0.0155,0.0114593101656986,0.00256237965057565,0.0053631222451812
